ID,Prompt,Model,Correct_final,Relevance_final,Scientific_final
a_12_1,A box and its shadow which is longer than it.,llama_tikz,2,2.5,4.5
a_12_1,A box and its shadow which is longer than it.,gpt4o_tikz,1.5,1,3.5
a_12_1,A box and its shadow which is longer than it.,stable_diffusion,4,3.5,2.5
a_12_1,A box and its shadow which is longer than it.,llama_python,1.5,3,4
a_12_1,A box and its shadow which is longer than it.,gpt4o_python,2,2.5,5
a_12_1,A box and its shadow which is longer than it.,dalle,3,3.5,3.5
n_1_1,There are five squares and two circles.,automatikz,3,2,4
n_1_1,There are five squares and two circles.,llama_tikz,5,4.5,4.5
n_1_1,There are five squares and two circles.,gpt4o_tikz,5,4.5,5
n_1_1,There are five squares and two circles.,stable_diffusion,2,2,2.5
n_1_1,There are five squares and two circles.,llama_python,2.5,5,4.5
n_1_1,There are five squares and two circles.,gpt4o_python,5,4.5,5
n_1_1,There are five squares and two circles.,dalle,3,3.5,2.5
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles.",automatikz,2,2.5,4
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles.",llama_tikz,2.5,3,5
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles.",gpt4o_tikz,5,5,5
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles.",stable_diffusion,2,2,2.5
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles.",llama_python,3.5,3,5
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles.",gpt4o_python,5,4.5,5
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles.",dalle,2,2.5,3
n_3_1,A polygon with 3 sides.,automatikz,2,1.5,4
n_3_1,A polygon with 3 sides.,llama_tikz,5,5,5
n_3_1,A polygon with 3 sides.,gpt4o_tikz,5,5,5
n_3_1,A polygon with 3 sides.,stable_diffusion,1,1,2.5
n_3_1,A polygon with 3 sides.,llama_python,0,0,0
n_3_1,A polygon with 3 sides.,gpt4o_python,5,4.5,5
n_3_1,A polygon with 3 sides.,dalle,1.5,1.5,3
n_4_1,A three-by-four matrix.,automatikz,1,1,4.5
n_4_1,A three-by-four matrix.,llama_tikz,3,2,5
n_4_1,A three-by-four matrix.,gpt4o_tikz,5,5,3.5
n_4_1,A three-by-four matrix.,stable_diffusion,1.5,2,2.5
n_4_1,A three-by-four matrix.,llama_python,1.5,2,5
n_4_1,A three-by-four matrix.,gpt4o_python,3,2.5,5
n_4_1,A three-by-four matrix.,dalle,1.5,1.5,2.5
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1.",automatikz,1,1,4
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1.",llama_tikz,2,2.5,4
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1.",gpt4o_tikz,5,4.5,5
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1.",stable_diffusion,2,2.5,2.5
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1.",llama_python,0,0,0
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1.",gpt4o_python,5,4.5,5
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1.",dalle,1.5,2,2.5
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2.",automatikz,2,2,5
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2.",llama_tikz,1.5,2,4
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2.",gpt4o_tikz,5,4.5,5
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2.",stable_diffusion,2.5,2.5,2
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2.",llama_python,0,0,0
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2.",gpt4o_python,5,4.5,5
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2.",dalle,2,3,2.5
n_7_1,y = 3^{x} and its inverse function.,automatikz,1,1.5,4
n_7_1,y = 3^{x} and its inverse function.,llama_tikz,0,0,0
n_7_1,y = 3^{x} and its inverse function.,gpt4o_tikz,5,4.5,5
n_7_1,y = 3^{x} and its inverse function.,stable_diffusion,1,1,2
n_7_1,y = 3^{x} and its inverse function.,llama_python,3,4.5,5
n_7_1,y = 3^{x} and its inverse function.,gpt4o_python,3.5,5,4
n_7_1,y = 3^{x} and its inverse function.,dalle,1,1.5,1.5
n_8_1,"Therer are N squares and 3*N circles, where N > 1.",automatikz,2,2.5,4
n_8_1,"Therer are N squares and 3*N circles, where N > 1.",llama_tikz,2,3,4.5
n_8_1,"Therer are N squares and 3*N circles, where N > 1.",gpt4o_tikz,5,5,4.5
n_8_1,"Therer are N squares and 3*N circles, where N > 1.",stable_diffusion,2,2.5,2
n_8_1,"Therer are N squares and 3*N circles, where N > 1.",llama_python,2.5,3,3.5
n_8_1,"Therer are N squares and 3*N circles, where N > 1.",gpt4o_python,5,4.5,5
n_8_1,"Therer are N squares and 3*N circles, where N > 1.",dalle,2,2,1.5
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.,automatikz,4.5,5,5
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.,llama_tikz,4.5,3,3
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.,gpt4o_tikz,4.5,5,5
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.,stable_diffusion,2.5,2,2.5
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.,llama_python,5,4.5,5
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.,gpt4o_python,5,3.5,5
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.,dalle,1.5,1,1.5
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2.",automatikz,5,5,5
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2.",llama_tikz,5,5,4.5
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2.",gpt4o_tikz,3,4,5
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2.",stable_diffusion,2,2.5,2.5
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2.",llama_python,0,0,0
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2.",gpt4o_python,1.5,3,5
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2.",dalle,2,2,1.5
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults.",automatikz,2,3,4.5
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults.",llama_tikz,0,0,0
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults.",gpt4o_tikz,4,4,4.5
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults.",stable_diffusion,2,2,1
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults.",llama_python,5,5,5
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults.",gpt4o_python,4.5,3,3.5
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults.",dalle,2.5,2,1
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30.",automatikz,2,3,2.5
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30.",llama_tikz,0,0,0
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30.",gpt4o_tikz,0,0,0
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30.",stable_diffusion,2.5,2.5,1
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30.",llama_python,5,5,5
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30.",gpt4o_python,3.5,2.5,3.5
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30.",dalle,2.5,2.5,1.5
n_13_1,A binary tree with a total of 7 nodes.,automatikz,1,2,3
n_13_1,A binary tree with a total of 7 nodes.,llama_tikz,0,0,0
n_13_1,A binary tree with a total of 7 nodes.,gpt4o_tikz,5,4.5,5
n_13_1,A binary tree with a total of 7 nodes.,stable_diffusion,1,1,1
n_13_1,A binary tree with a total of 7 nodes.,llama_python,0,0,0
n_13_1,A binary tree with a total of 7 nodes.,gpt4o_python,4,4,5
n_13_1,A binary tree with a total of 7 nodes.,dalle,1,1,1
n_14_1,There is an artificial neural network with 4 hidden layers.,automatikz,1,2,3
n_14_1,There is an artificial neural network with 4 hidden layers.,llama_tikz,0,0,0
n_14_1,There is an artificial neural network with 4 hidden layers.,gpt4o_tikz,4.5,4.5,4.5
n_14_1,There is an artificial neural network with 4 hidden layers.,stable_diffusion,1,1,1
n_14_1,There is an artificial neural network with 4 hidden layers.,llama_python,0,0,0
n_14_1,There is an artificial neural network with 4 hidden layers.,gpt4o_python,4.5,4.5,4.5
n_14_1,There is an artificial neural network with 4 hidden layers.,dalle,0.5,1,1
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar.",automatikz,2,4,3
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar.",llama_tikz,0,0,0
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar.",gpt4o_tikz,5,4,4.5
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar.",stable_diffusion,2.5,2.5,2.5
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar.",llama_python,5,5,5
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar.",gpt4o_python,5,4.5,5
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar.",dalle,2.5,2,1.5
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart.",automatikz,0,0,0
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart.",llama_tikz,0,0,0
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart.",gpt4o_tikz,4.5,5,5
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart.",stable_diffusion,2,1.5,1
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart.",llama_python,5,4.5,5
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart.",gpt4o_python,5,5,4.5
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart.",dalle,3,2,1
s_1_1,A circle is in the middle of the canvas.,automatikz,3,3,3.5
s_1_1,A circle is in the middle of the canvas.,llama_tikz,5,4.5,5
s_1_1,A circle is in the middle of the canvas.,gpt4o_tikz,5,4.5,5
s_1_1,A circle is in the middle of the canvas.,stable_diffusion,3.5,2,1.5
s_1_1,A circle is in the middle of the canvas.,llama_python,5,5,5
s_1_1,A circle is in the middle of the canvas.,gpt4o_python,5,4.5,5
s_1_1,A circle is in the middle of the canvas.,dalle,3.5,2,1
s_2_1,A circle is to the left of a square.,automatikz,3.5,4,5
s_2_1,A circle is to the left of a square.,llama_tikz,4.5,5,5
s_2_1,A circle is to the left of a square.,gpt4o_tikz,5,4.5,5
s_2_1,A circle is to the left of a square.,stable_diffusion,2,2,2
s_2_1,A circle is to the left of a square.,llama_python,2,5,5
s_2_1,A circle is to the left of a square.,gpt4o_python,5,4.5,5
s_2_1,A circle is to the left of a square.,dalle,2,2.5,2.5
s_3_1,There is a circle in the upper left corner of a square.,automatikz,2,3.5,5
s_3_1,There is a circle in the upper left corner of a square.,llama_tikz,2.5,5,5
s_3_1,There is a circle in the upper left corner of a square.,gpt4o_tikz,5,5,5
s_3_1,There is a circle in the upper left corner of a square.,stable_diffusion,2,2.5,3
s_3_1,There is a circle in the upper left corner of a square.,llama_python,3.5,5,5
s_3_1,There is a circle in the upper left corner of a square.,gpt4o_python,5,5,5
s_3_1,There is a circle in the upper left corner of a square.,dalle,2,2,1.5
s_4_1,A star in each corner of a triangle.,automatikz,1,1,5
s_4_1,A star in each corner of a triangle.,llama_tikz,0,0,0
s_4_1,A star in each corner of a triangle.,gpt4o_tikz,0,0,0
s_4_1,A star in each corner of a triangle.,stable_diffusion,3,2,1
s_4_1,A star in each corner of a triangle.,llama_python,2.5,2.5,2.5
s_4_1,A star in each corner of a triangle.,gpt4o_python,3.5,2.5,4.5
s_4_1,A star in each corner of a triangle.,dalle,4.5,2,1
s_5_1,"A circle is inside the square, and a triangle is outside.",automatikz,1.5,3,4
s_5_1,"A circle is inside the square, and a triangle is outside.",llama_tikz,3,4,5
s_5_1,"A circle is inside the square, and a triangle is outside.",gpt4o_tikz,5,5,5
s_5_1,"A circle is inside the square, and a triangle is outside.",stable_diffusion,1.5,2,1
s_5_1,"A circle is inside the square, and a triangle is outside.",llama_python,5,5,5
s_5_1,"A circle is inside the square, and a triangle is outside.",gpt4o_python,5,4,5
s_5_1,"A circle is inside the square, and a triangle is outside.",dalle,2.5,2,1.5
s_6_1,A square between a circle and a triangle.,automatikz,1.5,3,5
s_6_1,A square between a circle and a triangle.,llama_tikz,1.5,2.5,3
s_6_1,A square between a circle and a triangle.,gpt4o_tikz,5,5,5
s_6_1,A square between a circle and a triangle.,stable_diffusion,1.5,2,1.5
s_6_1,A square between a circle and a triangle.,llama_python,2,5,4
s_6_1,A square between a circle and a triangle.,gpt4o_python,5,5,5
s_6_1,A square between a circle and a triangle.,dalle,1.5,1.5,1.5
s_7_1,A binary tree with the root at the leftmost position.,automatikz,2.5,4.5,5
s_7_1,A binary tree with the root at the leftmost position.,llama_tikz,0,0,0
s_7_1,A binary tree with the root at the leftmost position.,gpt4o_tikz,3,4.5,5
s_7_1,A binary tree with the root at the leftmost position.,stable_diffusion,1,1,1
s_7_1,A binary tree with the root at the leftmost position.,llama_python,0,0,0
s_7_1,A binary tree with the root at the leftmost position.,gpt4o_python,0,0,0
s_7_1,A binary tree with the root at the leftmost position.,dalle,0.5,1,1
s_8_1,A parabola opening upwards.,automatikz,2,3,3
s_8_1,A parabola opening upwards.,llama_tikz,2.5,2.5,4.5
s_8_1,A parabola opening upwards.,gpt4o_tikz,5,4.5,5
s_8_1,A parabola opening upwards.,stable_diffusion,2.5,2.5,2
s_8_1,A parabola opening upwards.,llama_python,5,4.5,5
s_8_1,A parabola opening upwards.,gpt4o_python,5,4.5,5
s_8_1,A parabola opening upwards.,dalle,1.5,1.5,1.5
s_9_1,A circle and a triangle intersect.,automatikz,2,2,4
s_9_1,A circle and a triangle intersect.,llama_tikz,5,4.5,4.5
s_9_1,A circle and a triangle intersect.,gpt4o_tikz,5,5,5
s_9_1,A circle and a triangle intersect.,stable_diffusion,2.5,2.5,1.5
s_9_1,A circle and a triangle intersect.,llama_python,5,5,5
s_9_1,A circle and a triangle intersect.,gpt4o_python,5,4,5
s_9_1,A circle and a triangle intersect.,dalle,3.5,2,1
s_10_1,There are many stars around a circle.,automatikz,3,2.5,4
s_10_1,There are many stars around a circle.,llama_tikz,3.5,3,4
s_10_1,There are many stars around a circle.,gpt4o_tikz,3.5,3.5,4.5
s_10_1,There are many stars around a circle.,stable_diffusion,2.5,2,1
s_10_1,There are many stars around a circle.,llama_python,2,5,5
s_10_1,There are many stars around a circle.,gpt4o_python,4.5,4,4.5
s_10_1,There are many stars around a circle.,dalle,2.5,2,1
s_11_1,Many circles are embedded within each other without intersection.,automatikz,1,1.5,2.5
s_11_1,Many circles are embedded within each other without intersection.,llama_tikz,2.5,3.5,3
s_11_1,Many circles are embedded within each other without intersection.,gpt4o_tikz,5,5,5
s_11_1,Many circles are embedded within each other without intersection.,stable_diffusion,1.5,1,1.5
s_11_1,Many circles are embedded within each other without intersection.,llama_python,0,0,0
s_11_1,Many circles are embedded within each other without intersection.,gpt4o_python,5,4,3.5
s_11_1,Many circles are embedded within each other without intersection.,dalle,3,2,1
s_12_1,The badminton ball moves along a parabola.,automatikz,2,2.5,3
s_12_1,The badminton ball moves along a parabola.,llama_tikz,1.5,2.5,4
s_12_1,The badminton ball moves along a parabola.,gpt4o_tikz,3,3,4.5
s_12_1,The badminton ball moves along a parabola.,stable_diffusion,3,2,1.5
s_12_1,The badminton ball moves along a parabola.,llama_python,1,1.5,5
s_12_1,The badminton ball moves along a parabola.,gpt4o_python,1,1,4
s_12_1,The badminton ball moves along a parabola.,dalle,1.5,1.5,1
s_13_1,A container is half filled with water.,automatikz,1.5,2.5,3.5
s_13_1,A container is half filled with water.,llama_tikz,4,4,3.5
s_13_1,A container is half filled with water.,gpt4o_tikz,4.5,4.5,4
s_13_1,A container is half filled with water.,stable_diffusion,2.5,2.5,2.5
s_13_1,A container is half filled with water.,llama_python,3,3,4
s_13_1,A container is half filled with water.,gpt4o_python,4.5,4,4
s_13_1,A container is half filled with water.,dalle,3.5,2,1
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes.",automatikz,1,1.5,3.5
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes.",llama_tikz,2.5,2.5,3
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes.",gpt4o_tikz,3.5,4,3
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes.",stable_diffusion,2.5,2.5,2.5
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes.",llama_python,1.5,1.5,2.5
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes.",gpt4o_python,4.5,4.5,4
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes.",dalle,2,2,1.5
ns_1_1,5 squares on the left side of the canvas.,automatikz,2,3,5
ns_1_1,5 squares on the left side of the canvas.,llama_tikz,3,4,4.5
ns_1_1,5 squares on the left side of the canvas.,gpt4o_tikz,3,4,5
ns_1_1,5 squares on the left side of the canvas.,stable_diffusion,1.5,2.5,2.5
ns_1_1,5 squares on the left side of the canvas.,llama_python,1,1,5
ns_1_1,5 squares on the left side of the canvas.,gpt4o_python,2.5,3.5,5
ns_1_1,5 squares on the left side of the canvas.,dalle,1.5,1.5,1.5
ns_2_1,Three circles in the upper left corner of the rectangle.,automatikz,2.5,3.5,4.5
ns_2_1,Three circles in the upper left corner of the rectangle.,llama_tikz,1,2.5,2.5
ns_2_1,Three circles in the upper left corner of the rectangle.,gpt4o_tikz,5,5,5
ns_2_1,Three circles in the upper left corner of the rectangle.,stable_diffusion,2,2,1.5
ns_2_1,Three circles in the upper left corner of the rectangle.,llama_python,3,4.5,5
ns_2_1,Three circles in the upper left corner of the rectangle.,gpt4o_python,4.5,4,4.5
ns_2_1,Three circles in the upper left corner of the rectangle.,dalle,2,2.5,1.5
ns_3_1,There are 4 line segments inside a circle.,automatikz,2.5,2.5,3
ns_3_1,There are 4 line segments inside a circle.,llama_tikz,5,5,5
ns_3_1,There are 4 line segments inside a circle.,gpt4o_tikz,0,0,0
ns_3_1,There are 4 line segments inside a circle.,stable_diffusion,3.5,2.5,1.5
ns_3_1,There are 4 line segments inside a circle.,llama_python,2.5,3,4
ns_3_1,There are 4 line segments inside a circle.,gpt4o_python,3.5,2,3
ns_3_1,There are 4 line segments inside a circle.,dalle,2.5,2,1.5
ns_4_1,There is a square in the middle of four circles.,automatikz,3,3.5,3.5
ns_4_1,There is a square in the middle of four circles.,llama_tikz,2,2.5,3.5
ns_4_1,There is a square in the middle of four circles.,gpt4o_tikz,5,5,5
ns_4_1,There is a square in the middle of four circles.,stable_diffusion,3,2.5,1.5
ns_4_1,There is a square in the middle of four circles.,llama_python,1,1,2.5
ns_4_1,There is a square in the middle of four circles.,gpt4o_python,5,4.5,5
ns_4_1,There is a square in the middle of four circles.,dalle,3,2,1.5
ns_5_1,Four squares are to the right of four triangles.,automatikz,1,1.5,3
ns_5_1,Four squares are to the right of four triangles.,llama_tikz,1.5,3,4.5
ns_5_1,Four squares are to the right of four triangles.,gpt4o_tikz,5,4.5,4.5
ns_5_1,Four squares are to the right of four triangles.,stable_diffusion,1,1,2
ns_5_1,Four squares are to the right of four triangles.,llama_python,1,2,3.5
ns_5_1,Four squares are to the right of four triangles.,gpt4o_python,5,4,5
ns_5_1,Four squares are to the right of four triangles.,dalle,2,2,2
ns_6_1,5 arrows pointing to different directions.,automatikz,1,1,3
ns_6_1,5 arrows pointing to different directions.,llama_tikz,5,5,5
ns_6_1,5 arrows pointing to different directions.,gpt4o_tikz,4,4,5
ns_6_1,5 arrows pointing to different directions.,stable_diffusion,2.5,2,2
ns_6_1,5 arrows pointing to different directions.,llama_python,3.5,5,4.5
ns_6_1,5 arrows pointing to different directions.,gpt4o_python,5,4,5
ns_6_1,5 arrows pointing to different directions.,dalle,2.5,2,1
ns_7_1,5 stars are arranged in a row.,automatikz,1,1,5
