ID,Language,Model,Correctness_final,Relevance_final,Scientific_final
na_14_1_EN,EN,gpt_o1_tikz,4.5,4.5,5
nsa_3_1_EN,EN,gpt_o1_python,5,4.5,5
nsa_3_1_FA,FA,llama_python,2,1.5,5
nsa_3_1_ZH,ZH,gpt_4o_python,5,4.5,5
nsa_3_1_DE,DE,gpt_o1_python,3,4,5
nsa_3_1_ZH,ZH,dalle,2.5,3,4
nsa_3_1_DE,DE,gpt_4o_python,5,4.5,5
nsa_3_1_EN,EN,gpt_o1_tikz,5,5,5
nsa_3_1_FA,FA,gpt_o1_python,4.5,4,5
nsa_3_1_ZH,ZH,gpt_o1_tikz,5,5,5
nsa_3_1_ZH,ZH,gpt_4o_tikz,3,5,5
nsa_3_1_ZH,ZH,gpt_o1_python,5,5,5
nsa_3_1_DE,DE,llama_tikz,5,5,5
nsa_3_1_FA,FA,llama_tikz,3.5,4.5,5
nsa_3_1_DE,DE,gpt_4o_tikz,5,5,5
nsa_3_1_ZH,ZH,llama_python,1.5,1.5,5
nsa_3_1_FA,FA,gpt_4o_tikz,5,5,5
nsa_3_1_FA,FA,gpt_o1_tikz,5,5,5
nsa_3_1_ZH,ZH,llama_tikz,0,0,0
nsa_3_1_DE,DE,llama_python,1.5,1.5,5
nsa_3_1_FA,FA,dalle,2.5,2.5,4
nsa_3_1_DE,DE,dalle,2.5,2,3.5
nsa_3_1_FA,FA,gpt_4o_python,5,3.5,5
nsa_3_1_DE,DE,gpt_o1_tikz,5,5,5
nsa_8_2_DE,DE,gpt_4o_tikz,5,5,5
nsa_8_2_FA,FA,dalle,3,4,1.5
nsa_8_2_EN,EN,gpt_o1_tikz,5,5,4.5
nsa_8_2_ZH,ZH,gpt_o1_python,1.5,1.5,3
nsa_8_2_FA,FA,gpt_o1_python,1.5,1.5,3
nsa_8_2_FA,FA,gpt_o1_tikz,5,5,4
nsa_8_2_DE,DE,llama_tikz,0,0,0
nsa_8_2_ZH,ZH,llama_tikz,3,4.5,4
nsa_8_2_FA,FA,gpt_4o_tikz,3.5,4.5,4
nsa_8_2_DE,DE,gpt_o1_python,1.5,1.5,3
nsa_8_2_FA,FA,gpt_4o_python,3.5,3.5,3
nsa_8_2_ZH,ZH,dalle,3,3.5,1.5
nsa_8_2_DE,DE,gpt_o1_tikz,0,0,0
nsa_8_2_ZH,ZH,llama_python,4.5,4.5,4.5
nsa_8_2_ZH,ZH,gpt_4o_tikz,5,5,5
nsa_8_2_DE,DE,llama_python,1.5,1.5,2.5
nsa_8_2_EN,EN,gpt_o1_python,3,3,2.5
nsa_8_2_ZH,ZH,gpt_4o_python,4.5,4.5,5
nsa_8_2_FA,FA,llama_python,1.5,1.5,2
nsa_8_2_ZH,ZH,gpt_o1_tikz,5,4.5,4.5
nsa_8_2_DE,DE,gpt_4o_python,4,4,3.5
nsa_8_2_FA,FA,llama_tikz,2.5,4,4.5
nsa_8_2_DE,DE,dalle,5,5,2
sa_8_4_ZH,ZH,dalle,1,1,1
sa_8_4_ZH,ZH,llama_tikz,2.5,4,4
sa_8_4_DE,DE,llama_python,3,3,4
sa_8_4_DE,DE,dalle,1,1,1
sa_8_4_FA,FA,gpt_4o_python,3,4,4.5
sa_8_4_ZH,ZH,llama_python,3,4,5
sa_8_4_EN,EN,gpt_o1_python,3.5,4,5
sa_8_4_ZH,ZH,gpt_o1_tikz,3.5,4,5
sa_8_4_DE,DE,llama_tikz,0,0,0
sa_8_4_DE,DE,gpt_o1_python,4.5,4.5,5
sa_8_4_ZH,ZH,gpt_4o_tikz,3,4,4
sa_8_4_ZH,ZH,gpt_o1_python,4.5,4.5,5
sa_8_4_FA,FA,llama_tikz,1.5,1.5,5
sa_8_4_ZH,ZH,gpt_4o_python,4.5,4.5,5
sa_8_4_DE,DE,gpt_4o_tikz,5,5,5
sa_8_4_DE,DE,gpt_o1_tikz,3.5,4,5
sa_8_4_FA,FA,llama_python,2,2,3.5
sa_8_4_EN,EN,gpt_o1_tikz,5,5,5
sa_8_4_FA,FA,dalle,1,1,1
sa_8_4_FA,FA,gpt_4o_tikz,5,5,5
sa_8_4_FA,FA,gpt_o1_python,0,0,0
sa_8_4_DE,DE,gpt_4o_python,3.5,3.5,5
sa_8_4_FA,FA,gpt_o1_tikz,3.5,4,5
ns_4_4_ZH,ZH,gpt_o1_python,4,4,5
ns_4_4_FA,FA,gpt_o1_python,4.5,5,5
ns_4_4_ZH,ZH,gpt_4o_tikz,3.5,4.5,4
ns_4_4_EN,EN,gpt_o1_tikz,5,5,4.5
ns_4_4_ZH,ZH,gpt_4o_python,4,4,5
ns_4_4_DE,DE,gpt_o1_python,4,4,5
ns_4_4_DE,DE,llama_tikz,0,0,0
ns_4_4_DE,DE,gpt_4o_tikz,4.5,4.5,4
ns_4_4_FA,FA,gpt_o1_tikz,5,5,4.5
ns_4_4_EN,EN,gpt_o1_python,4,4,4.5
ns_4_4_ZH,ZH,dalle,2,2,1
ns_4_4_ZH,ZH,llama_tikz,1,1.5,5
ns_4_4_ZH,ZH,llama_python,0,0,0
ns_4_4_FA,FA,dalle,2.5,2,1
ns_4_4_FA,FA,llama_python,1.5,2,3.5
ns_4_4_DE,DE,llama_python,0,0,0
ns_4_4_DE,DE,gpt_o1_tikz,4.5,5,4.5
ns_4_4_DE,DE,dalle,2.5,2,1.5
ns_4_4_FA,FA,llama_tikz,1,1,3
ns_4_4_FA,FA,gpt_4o_tikz,5,5,5
ns_4_4_FA,FA,gpt_4o_python,0,0,0
ns_4_4_DE,DE,gpt_4o_python,3,3.5,3
ns_4_4_ZH,ZH,gpt_o1_tikz,4.5,5,4
n_15_3_ZH,ZH,dalle,1.5,1.5,1.5
n_15_3_ZH,ZH,llama_python,0,0,0
n_15_3_ZH,ZH,llama_tikz,0,0,0
n_15_3_FA,FA,gpt_4o_tikz,0,0,0
n_15_3_FA,FA,gpt_4o_python,5,5,5
n_15_3_FA,FA,dalle,2,2.5,1.5
n_15_3_DE,DE,gpt_4o_python,5,5,5
n_15_3_FA,FA,llama_tikz,0,0,0
n_15_3_ZH,ZH,gpt_4o_python,5,5,4.5
n_15_3_DE,DE,gpt_o1_python,5,5,5
n_15_3_ZH,ZH,gpt_4o_tikz,5,5,5
n_15_3_EN,EN,gpt_o1_tikz,0,0,0
n_15_3_DE,DE,dalle,1.5,1.5,1
n_15_3_FA,FA,gpt_o1_python,5,5,5
n_15_3_DE,DE,gpt_4o_tikz,0,0,0
n_15_3_FA,FA,llama_python,4.5,4.5,5
n_15_3_DE,DE,llama_python,0,0,0
n_15_3_DE,DE,gpt_o1_tikz,0,0,0
n_15_3_DE,DE,llama_tikz,0,0,0
n_15_3_ZH,ZH,gpt_o1_python,5,5,4.5
n_15_3_FA,FA,gpt_o1_tikz,0,0,0
n_15_3_EN,EN,gpt_o1_python,5,5,5
n_15_3_ZH,ZH,gpt_o1_tikz,0,0,0
na_13_3_FA,FA,gpt_4o_python,5,5,4.5
na_13_3_ZH,ZH,llama_python,0,0,0
na_13_3_FA,FA,dalle,2,2,1
na_13_3_ZH,ZH,gpt_o1_python,5,5,4.5
na_13_3_FA,FA,gpt_o1_python,5,5,5
na_13_3_ZH,ZH,gpt_4o_python,4.5,5,5
na_13_3_ZH,ZH,gpt_o1_tikz,4.5,4.5,4.5
na_13_3_ZH,ZH,gpt_4o_tikz,3.5,4.5,3
na_13_3_FA,FA,llama_python,2,3.5,5
na_13_3_FA,FA,llama_tikz,2.5,3.5,5
na_13_3_FA,FA,gpt_o1_tikz,5,5,5
na_13_3_DE,DE,llama_tikz,0,0,0
na_13_3_DE,DE,gpt_o1_python,2,2,3
na_13_3_DE,DE,gpt_4o_tikz,3.5,4,3
na_13_3_EN,EN,gpt_o1_python,2,2,2.5
na_13_3_FA,FA,gpt_4o_tikz,5,5,5
na_13_3_DE,DE,gpt_o1_tikz,0,0,0
na_13_3_DE,DE,llama_python,0,0,0
na_13_3_ZH,ZH,llama_tikz,0,0,0
na_13_3_ZH,ZH,dalle,2,2,1
na_13_3_DE,DE,gpt_4o_python,5,5,3.5
na_13_3_DE,DE,dalle,2,2,1
na_13_3_EN,EN,gpt_o1_tikz,5,4.5,4.5
s_3_3_DE,DE,gpt_4o_tikz,5,5,5
s_3_3_DE,DE,gpt_o1_python,5,5,5
s_3_3_DE,DE,gpt_4o_python,5,5,5
s_3_3_DE,DE,gpt_o1_tikz,5,5,5
s_3_3_ZH,ZH,llama_tikz,2.5,2.5,5
s_3_3_FA,FA,llama_python,2,2,2.5
s_3_3_ZH,ZH,gpt_o1_python,4.5,4.5,5
s_3_3_ZH,ZH,gpt_o1_tikz,5,5,5
s_3_3_ZH,ZH,dalle,2,2,1
s_3_3_FA,FA,gpt_o1_tikz,5,5,5
s_3_3_FA,FA,gpt_o1_python,5,5,5
s_3_3_FA,FA,llama_tikz,1.5,2,5
s_3_3_DE,DE,llama_tikz,2.5,3,5
s_3_3_ZH,ZH,gpt_4o_python,2,2,5
s_3_3_FA,FA,gpt_4o_python,5,5,5
s_3_3_DE,DE,dalle,2,2,1
s_3_3_EN,EN,gpt_o1_tikz,5,5,5
s_3_3_EN,EN,gpt_o1_python,5,5,5
s_3_3_ZH,ZH,gpt_4o_tikz,4,5,5
s_3_3_FA,FA,gpt_4o_tikz,5,5,5
s_3_3_DE,DE,llama_python,3,4.5,5
s_3_3_FA,FA,dalle,1,1,1
s_3_3_ZH,ZH,llama_python,2,2,2
ns_2_3_ZH,ZH,llama_python,1.5,1.5,2
ns_2_3_ZH,ZH,gpt_4o_python,2,2.5,3.5
ns_2_3_FA,FA,gpt_o1_python,4.5,4,4.5
ns_2_3_ZH,ZH,gpt_o1_python,4.5,4,4.5
ns_2_3_EN,EN,gpt_o1_tikz,3.5,4.5,4
ns_2_3_FA,FA,llama_tikz,0,0,0
ns_2_3_DE,DE,gpt_4o_tikz,4,4,4
ns_2_3_ZH,ZH,dalle,2,2,1
ns_2_3_FA,FA,gpt_o1_tikz,3.5,5,4
ns_2_3_DE,DE,gpt_o1_tikz,4.5,4.5,4.5
ns_2_3_EN,EN,gpt_o1_python,4.5,4.5,4
ns_2_3_DE,DE,gpt_o1_python,0,0,0
ns_2_3_DE,DE,llama_tikz,1,1,2
ns_2_3_ZH,ZH,llama_tikz,1,1,1.5
ns_2_3_DE,DE,dalle,2.5,2.5,1
ns_2_3_FA,FA,llama_python,1.5,1,3
ns_2_3_ZH,ZH,gpt_4o_tikz,4,5,3.5
ns_2_3_ZH,ZH,gpt_o1_tikz,3,5,4
ns_2_3_DE,DE,gpt_4o_python,2.5,2.5,3.5
ns_2_3_FA,FA,dalle,1.5,1.5,1
ns_2_3_FA,FA,gpt_4o_tikz,0,0,0
ns_2_3_FA,FA,gpt_4o_python,2.5,3,4.5
ns_2_3_DE,DE,llama_python,1.5,1,4
a_9_3_DE,DE,gpt_4o_python,5,5,5
a_9_3_EN,EN,gpt_o1_python,5,5,5
a_9_3_ZH,ZH,dalle,1.5,1.5,1.5
a_9_3_ZH,ZH,gpt_o1_python,0,0,0
a_9_3_DE,DE,llama_python,1,1,4
a_9_3_EN,EN,gpt_o1_tikz,5,5,5
a_9_3_ZH,ZH,gpt_4o_python,5,5,5
a_9_3_FA,FA,llama_python,1,1.5,3.5
a_9_3_FA,FA,gpt_o1_tikz,5,5,5
a_9_3_ZH,ZH,gpt_o1_tikz,5,5,5
a_9_3_ZH,ZH,llama_tikz,2,2,4.5
a_9_3_FA,FA,llama_tikz,1,1,5
a_9_3_FA,FA,gpt_o1_python,2,2.5,5
a_9_3_FA,FA,gpt_4o_tikz,5,5,5
a_9_3_DE,DE,dalle,1.5,1.5,1
a_9_3_DE,DE,gpt_4o_tikz,5,5,5
a_9_3_DE,DE,gpt_o1_python,4.5,4,5
a_9_3_FA,FA,gpt_4o_python,4.5,4.5,5
a_9_3_ZH,ZH,gpt_4o_tikz,5,5,5
a_9_3_FA,FA,dalle,2,2,1
a_9_3_DE,DE,llama_tikz,2,2,4
a_9_3_DE,DE,gpt_o1_tikz,5,5,5
a_9_3_ZH,ZH,llama_python,1.5,1.5,4
na_8_1_ZH,ZH,llama_tikz,1.5,2,4.5
na_8_1_DE,DE,llama_tikz,0,0,0
na_8_1_EN,EN,gpt_o1_tikz,5,5,5
na_8_1_DE,DE,llama_python,0,0,0
na_8_1_DE,DE,dalle,1,1,1
na_8_1_DE,DE,gpt_o1_tikz,5,5,5
na_8_1_ZH,ZH,gpt_4o_python,5,5,5
na_8_1_DE,DE,gpt_4o_python,4.5,4,5
na_8_1_EN,EN,gpt_o1_python,3.5,2,4.5
na_8_1_FA,FA,llama_python,1,1,4
na_8_1_FA,FA,gpt_4o_tikz,5,5,5
na_8_1_FA,FA,llama_tikz,2.5,3,5
na_8_1_FA,FA,gpt_4o_python,4.5,4,5
na_8_1_FA,FA,gpt_o1_tikz,5,5,5
na_8_1_ZH,ZH,dalle,1.5,1.5,1.5
na_8_1_DE,DE,gpt_4o_tikz,5,5,5
na_8_1_FA,FA,gpt_o1_python,4,4.5,5
na_8_1_ZH,ZH,llama_python,4,4,5
na_8_1_ZH,ZH,gpt_4o_tikz,5,5,5
na_8_1_FA,FA,dalle,2,2,1.5
na_8_1_ZH,ZH,gpt_o1_tikz,5,5,5
na_8_1_ZH,ZH,gpt_o1_python,4,4,5
na_8_1_DE,DE,gpt_o1_python,1.5,1.5,2
s_11_1_DE,DE,gpt_o1_python,5,5,5
s_11_1_FA,FA,gpt_4o_python,5,4.5,5
s_11_1_ZH,ZH,dalle,1,2.5,1
s_11_1_FA,FA,llama_tikz,1.5,3.5,5
s_11_1_EN,EN,gpt_o1_tikz,0.5,0.5,0.5
s_11_1_DE,DE,gpt_4o_python,4,4.5,4.5
s_11_1_DE,DE,gpt_4o_tikz,5,5,5
s_11_1_ZH,ZH,llama_python,1,1.5,5
s_11_1_EN,EN,gpt_o1_python,5,4.5,5
s_11_1_ZH,ZH,gpt_o1_python,5,4.5,5
s_11_1_FA,FA,gpt_4o_tikz,5,5,5
s_11_1_DE,DE,llama_tikz,1.5,2,3
s_11_1_DE,DE,dalle,1.5,1.5,1
s_11_1_DE,DE,gpt_o1_tikz,5,5,5
s_11_1_DE,DE,llama_python,1,1,3
s_11_1_FA,FA,llama_python,0,0,0
s_11_1_FA,FA,dalle,1.5,1,1
s_11_1_FA,FA,gpt_o1_tikz,5,5,3.5
s_11_1_ZH,ZH,gpt_4o_tikz,5,5,5
s_11_1_ZH,ZH,llama_tikz,1.5,3.5,4
s_11_1_ZH,ZH,gpt_o1_tikz,5,5,5
s_11_1_FA,FA,gpt_o1_python,5,4.5,5
s_11_1_ZH,ZH,gpt_4o_python,5,4.5,5
s_12_2_ZH,ZH,gpt_o1_python,1,1,1.5
s_12_2_DE,DE,gpt_4o_python,2.5,3.5,5
s_12_2_EN,EN,gpt_o1_python,4,4,5
s_12_2_ZH,ZH,gpt_4o_tikz,5,5,5
s_12_2_FA,FA,gpt_o1_tikz,5,5,5
s_12_2_EN,EN,gpt_o1_tikz,5,5,5
s_12_2_DE,DE,llama_tikz,0,0,0
s_12_2_DE,DE,gpt_4o_tikz,2,3.5,5
s_12_2_DE,DE,gpt_o1_tikz,5,5,5
s_12_2_ZH,ZH,gpt_o1_tikz,5,5,5
s_12_2_ZH,ZH,dalle,1,1.5,1
s_12_2_FA,FA,llama_tikz,0,0,0
s_12_2_FA,FA,llama_python,1,2,4
s_12_2_FA,FA,gpt_4o_tikz,1,1,1.5
s_12_2_DE,DE,dalle,1.5,1.5,1
s_12_2_ZH,ZH,gpt_4o_python,3.5,3.5,5
s_12_2_ZH,ZH,llama_tikz,0,0,0
s_12_2_ZH,ZH,llama_python,1.5,3,4
s_12_2_FA,FA,dalle,1,1.5,1
s_12_2_FA,FA,gpt_4o_python,2,2.5,3
s_12_2_DE,DE,llama_python,1.5,2.5,3.5
s_12_2_FA,FA,gpt_o1_python,1,1,1.5
s_12_2_DE,DE,gpt_o1_python,4,4,5
ns_13_1_DE,DE,gpt_4o_python,4.5,5,4.5
ns_13_1_FA,FA,gpt_o1_tikz,5,5,5
ns_13_1_ZH,ZH,dalle,1,1.5,1
ns_13_1_ZH,ZH,gpt_4o_tikz,5,5,5
ns_13_1_FA,FA,llama_python,1,1,3
ns_13_1_FA,FA,gpt_4o_tikz,5,4.5,5
ns_13_1_DE,DE,dalle,1.5,1.5,1
ns_13_1_ZH,ZH,gpt_o1_tikz,5,5,5
ns_13_1_FA,FA,dalle,1.5,2,1.5
ns_13_1_ZH,ZH,llama_tikz,1.5,2.5,3
ns_13_1_ZH,ZH,gpt_4o_python,5,4.5,5
ns_13_1_EN,EN,gpt_o1_python,5,4.5,5
ns_13_1_EN,EN,gpt_o1_tikz,5,5,5
ns_13_1_ZH,ZH,llama_python,3,3.5,4.5
ns_13_1_FA,FA,gpt_4o_python,5,4.5,5
ns_13_1_ZH,ZH,gpt_o1_python,5,5,5
ns_13_1_DE,DE,llama_python,3.5,3.5,4.5
ns_13_1_DE,DE,llama_tikz,3,4,4.5
ns_13_1_DE,DE,gpt_o1_tikz,5,5,4.5
ns_13_1_DE,DE,gpt_4o_tikz,5,5,4.5
ns_13_1_FA,FA,llama_tikz,3,3.5,4.5
ns_13_1_FA,FA,gpt_o1_python,5,5,5
ns_13_1_DE,DE,gpt_o1_python,5,5,5
a_10_1_ZH,ZH,gpt_o1_tikz,5,5,5
a_10_1_DE,DE,llama_tikz,5,5,5
a_10_1_ZH,ZH,gpt_o1_python,5,4.5,5
a_10_1_ZH,ZH,gpt_4o_tikz,5,5,5
a_10_1_FA,FA,gpt_4o_python,5,4.5,5
a_10_1_FA,FA,dalle,2,2,1
a_10_1_FA,FA,gpt_o1_python,3.5,4,4
a_10_1_EN,EN,gpt_o1_python,5,4.5,5
a_10_1_DE,DE,gpt_o1_python,5,4.5,5
a_10_1_DE,DE,dalle,4,2.5,2.5
a_10_1_DE,DE,llama_python,1,1,3
a_10_1_FA,FA,llama_tikz,1,1.5,4.5
a_10_1_FA,FA,gpt_4o_tikz,5,5,5
a_10_1_DE,DE,gpt_4o_python,5,4.5,5
a_10_1_ZH,ZH,dalle,1.5,2,1.5
a_10_1_ZH,ZH,gpt_4o_python,5,4.5,5
a_10_1_EN,EN,gpt_o1_tikz,5,5,5
a_10_1_DE,DE,gpt_o1_tikz,5,5,5
a_10_1_FA,FA,gpt_o1_tikz,5,5,5
a_10_1_ZH,ZH,llama_python,1,1,3.5
a_10_1_FA,FA,llama_python,3.5,2.5,4.5
a_10_1_DE,DE,gpt_4o_tikz,5,5,5
a_10_1_ZH,ZH,llama_tikz,5,5,5
n_13_1_DE,DE,gpt_4o_python,5,5,5
n_13_1_ZH,ZH,gpt_o1_tikz,4.5,5,5
n_13_1_FA,FA,dalle,1,1,1
n_13_1_ZH,ZH,llama_python,0,0,0
n_13_1_ZH,ZH,gpt_o1_python,5,5,5
n_13_1_EN,EN,gpt_o1_tikz,5,5,5
n_13_1_DE,DE,dalle,1,1,1
n_13_1_DE,DE,gpt_4o_tikz,4,5,4.5
n_13_1_EN,EN,gpt_o1_python,1,1,2
n_13_1_FA,FA,gpt_o1_tikz,5,5,5
n_13_1_DE,DE,llama_python,0,0,0
n_13_1_ZH,ZH,gpt_4o_python,5,5,5
n_13_1_FA,FA,gpt_4o_python,0,0,0
n_13_1_FA,FA,gpt_o1_python,0,0,0
n_13_1_DE,DE,gpt_o1_tikz,4,4,4
n_13_1_FA,FA,gpt_4o_tikz,4,5,4
n_13_1_ZH,ZH,llama_tikz,1.5,2.5,3
n_13_1_DE,DE,llama_tikz,1.5,2,2
n_13_1_ZH,ZH,dalle,1,1,1
n_13_1_DE,DE,gpt_o1_python,0,0,0
n_13_1_FA,FA,llama_python,1,1,2
n_13_1_ZH,ZH,gpt_4o_tikz,4,5,4
n_13_1_FA,FA,llama_tikz,1,1.5,1.5
sa_3_4_FA,FA,gpt_o1_python,3.5,2.5,3
sa_3_4_ZH,ZH,gpt_o1_python,3.5,2.5,3
sa_3_4_FA,FA,gpt_o1_tikz,0,0,0
sa_3_4_FA,FA,llama_tikz,1,1,3
sa_3_4_EN,EN,gpt_o1_tikz,5,5,5
sa_3_4_DE,DE,llama_python,0,0,0
sa_3_4_FA,FA,dalle,1.5,2,1.5
sa_3_4_ZH,ZH,gpt_4o_python,3,3,4
sa_3_4_ZH,ZH,gpt_4o_tikz,0,0,0
sa_3_4_DE,DE,gpt_4o_python,4.5,3.5,3.5
sa_3_4_DE,DE,gpt_4o_tikz,1.5,2,4
sa_3_4_FA,FA,llama_python,1.5,2,4
sa_3_4_ZH,ZH,llama_python,1.5,1.5,2
sa_3_4_DE,DE,gpt_o1_tikz,5,5,5
sa_3_4_DE,DE,gpt_o1_python,5,3.5,3.5
sa_3_4_FA,FA,gpt_4o_tikz,0,0,0
sa_3_4_EN,EN,gpt_o1_python,5,5,5
sa_3_4_ZH,ZH,llama_tikz,1,2,2.5
sa_3_4_ZH,ZH,dalle,2,2.5,2
sa_3_4_FA,FA,gpt_4o_python,5,3.5,3.5
sa_3_4_DE,DE,llama_tikz,0,0,0
sa_3_4_DE,DE,dalle,2,3.5,3
sa_3_4_ZH,ZH,gpt_o1_tikz,0,0,0
n_10_2_EN,EN,gpt_o1_tikz,5,5,5
n_10_2_ZH,ZH,llama_tikz,0,0,0
n_10_2_DE,DE,gpt_o1_python,3.5,5,5
n_10_2_EN,EN,gpt_o1_python,5,5,5
n_10_2_FA,FA,gpt_o1_tikz,0,0,0
n_10_2_FA,FA,gpt_4o_python,2,4.5,5
n_10_2_ZH,ZH,gpt_o1_python,5,4.5,5
n_10_2_DE,DE,gpt_4o_python,2,4,5
n_10_2_DE,DE,llama_python,1,1,1.5
n_10_2_ZH,ZH,gpt_4o_tikz,1.5,4,4.5
n_10_2_FA,FA,llama_tikz,1,2,2
n_10_2_DE,DE,llama_tikz,2.5,4.5,5
n_10_2_FA,FA,gpt_4o_tikz,2.5,4.5,5
n_10_2_ZH,ZH,gpt_o1_tikz,1.5,4,3.5
n_10_2_FA,FA,dalle,1,1,1
n_10_2_FA,FA,llama_python,1.5,2,1.5
n_10_2_ZH,ZH,gpt_4o_python,2.5,4,5
n_10_2_FA,FA,gpt_o1_python,5,5,5
n_10_2_DE,DE,gpt_4o_tikz,2,3,4.5
n_10_2_DE,DE,gpt_o1_tikz,2,3.5,5
n_10_2_ZH,ZH,llama_python,1.5,1.5,1.5
n_10_2_DE,DE,dalle,1,1,1
n_10_2_ZH,ZH,dalle,1,1,1
